Item_Name,Category,Item_Weight,Item_MRP,Item_Outlet_Sales,Timestamp,Shelf_Life_Days,Seasonal_Demand,Packaging_Type,Trending_Score,Outlet_Type,Fat_Content,Establishment_Year,Tier,Visibility
White Rice,Grains and Cereals,1.0,2.5,568.68,2025-01-11 14:06:26,365,Low,Packaged,6.0,Supermarket Type1,Regular,2010,Tier 1,0.85
Low-Fat Milk,Dairy Products,1.0,3.2,568.68,2025-01-11 14:06:18,14,Medium,Packaged,8.0,Supermarket Type2,Low Fat,2015,Tier 2,0.89
Banana,Fruits and Vegetables,0.15,1.8,568.68,2025-01-11 14:05:37,7,Medium,Loose,7.0,Supermarket Type2,Regular,2015,Tier 2,0.92
Apple,Fruits and Vegetables,0.2,2.5,150.0,2025-01-11 10:24:15,14,High,Loose,8.0,Supermarket Type1,Regular,2010,Tier 1,0.85
Banana,Fruits and Vegetables,0.15,1.8,200.0,2025-01-11 10:24:15,7,Medium,Loose,7.0,Supermarket Type2,Regular,2015,Tier 2,0.92
Orange,Fruits and Vegetables,0.18,2.0,180.0,2025-01-11 10:24:15,21,High,Loose,6.0,Supermarket Type1,Regular,2012,Tier 1,0.78
Kiwi,Fruits and Vegetables,0.1,3.0,120.0,2025-01-11 10:24:15,14,Low,Packaged,5.0,Supermarket Type3,Regular,2018,Tier 3,0.65
Spinach,Fruits and Vegetables,0.3,2.2,90.0,2025-01-11 10:24:15,5,Medium,Loose,7.0,Supermarket Type1,Regular,2010,Tier 1,0.88
Broccoli,Fruits and Vegetables,0.4,3.5,110.0,2025-01-11 10:24:15,7,Low,Loose,6.0,Supermarket Type2,Regular,2015,Tier 2,0.72
Whole Milk,Dairy Products,1.0,3.5,300.0,2025-01-11 10:24:15,14,Medium,Packaged,9.0,Supermarket Type1,Full Fat,2010,Tier 1,0.95
Low-Fat Milk,Dairy Products,1.0,3.2,250.0,2025-01-11 10:24:15,14,Medium,Packaged,8.0,Supermarket Type2,Low Fat,2015,Tier 2,0.89
Yogurt,Dairy Products,0.5,2.0,180.0,2025-01-11 10:24:15,21,High,Packaged,9.0,Supermarket Type1,Low Fat,2012,Tier 1,0.91
Butter,Dairy Products,0.25,4.5,150.0,2025-01-11 10:24:15,30,Medium,Packaged,7.0,Supermarket Type3,Full Fat,2018,Tier 3,0.82
Cheese,Dairy Products,0.3,5.0,200.0,2025-01-11 10:24:15,60,Low,Packaged,8.0,Supermarket Type1,Full Fat,2010,Tier 1,0.87
White Rice,Grains and Cereals,1.0,2.5,180.0,2025-01-11 10:24:15,365,Low,Packaged,6.0,Supermarket Type2,Regular,2015,Tier 2,0.75
Brown Rice,Grains and Cereals,1.0,3.0,150.0,2025-01-11 10:24:15,180,Low,Packaged,7.0,Supermarket Type1,Regular,2012,Tier 1,0.79
Oats,Grains and Cereals,0.5,3.5,160.0,2025-01-11 10:24:15,180,High,Packaged,8.0,Supermarket Type3,Regular,2018,Tier 3,0.86
Quinoa,Grains and Cereals,0.5,6.0,120.0,2025-01-11 10:24:15,365,Medium,Packaged,9.0,Supermarket Type1,Regular,2010,Tier 1,0.83
Potato Chips,Packaged Snacks,0.2,2.0,250.0,2025-01-11 10:24:15,90,High,Packaged,8.0,Supermarket Type2,Regular,2015,Tier 2,0.94
Chocolate Cookies,Packaged Snacks,0.3,3.0,220.0,2025-01-11 10:24:15,120,High,Packaged,9.0,Supermarket Type1,Regular,2012,Tier 1,0.96
Mixed Nuts,Packaged Snacks,0.25,5.0,180.0,2025-01-11 10:24:15,180,Medium,Packaged,7.0,Supermarket Type3,Regular,2018,Tier 3,0.88
Energy Bars,Packaged Snacks,0.15,2.5,200.0,2025-01-11 10:24:15,150,High,Packaged,9.0,Supermarket Type1,Regular,2010,Tier 1,0.92
Oats,Grains and Cereals,0.49,3.08,112.85,2025-01-11 08:54:45.732259,182,High,Packaged,8.165285831546386,Supermarket Type3,Regular,2018,Tier 3,0.9547407245170046
Broccoli,Fruits and Vegetables,0.47000000000000003,3.17,148.11,2025-01-11 08:54:45.733049,1,Low,Loose,6.280729585287755,Supermarket Type2,Regular,2015,Tier 2,0.6421349717785727
Apple,Fruits and Vegetables,0.23,2.94,150.54,2025-01-11 08:54:45.733577,15,High,Loose,8.430961752314953,Supermarket Type1,Regular,2010,Tier 1,0.897532099178612
Butter,Dairy Products,0.23,4.2,106.88,2025-01-11 08:54:45.734065,22,Medium,Packaged,6.708868035499593,Supermarket Type3,Full Fat,2018,Tier 3,0.7260364842175233
Low-Fat Milk,Dairy Products,0.99,3.6100000000000003,597.75,2025-01-11 08:54:45.734511,4,Medium,Packaged,7.010333785270679,Supermarket Type2,Low Fat,2015,Tier 2,0.9505697852463133
Banana,Fruits and Vegetables,0.15,1.95,199.7,2025-01-11 08:54:45.734976,1,Medium,Loose,6.260595197522461,Supermarket Type2,Regular,2015,Tier 2,0.9107112291084654
Chocolate Cookies,Packaged Snacks,0.31,2.61,171.65,2025-01-11 08:54:45.735446,115,High,Packaged,8.07149543694371,Supermarket Type1,Regular,2012,Tier 1,0.91614722671394
Low-Fat Milk,Dairy Products,0.9299999999999999,3.23,219.07999999999998,2025-01-11 08:54:45.735916,20,Medium,Packaged,8.804788878569168,Supermarket Type2,Low Fat,2015,Tier 2,0.82730239245006
Whole Milk,Dairy Products,1.08,3.94,321.72,2025-01-11 08:54:45.736382,23,Medium,Packaged,9.263889620063361,Supermarket Type1,Full Fat,2010,Tier 1,0.8925760376438427
Yogurt,Dairy Products,0.55,2.11,216.82,2025-01-11 08:54:45.736835,17,High,Packaged,9.013307953005928,Supermarket Type1,Low Fat,2012,Tier 1,0.8924043588706125
Whole Milk,Dairy Products,0.97,3.17,340.49,2025-01-11 08:54:45.737297,7,Medium,Packaged,9.626946460410492,Supermarket Type1,Full Fat,2010,Tier 1,0.9406586584808362
Oats,Grains and Cereals,0.52,3.01,184.1,2025-01-11 08:54:45.737802,187,High,Packaged,8.47328098717322,Supermarket Type3,Regular,2018,Tier 3,0.9460141245876384
Chocolate Cookies,Packaged Snacks,0.24,3.12,220.03,2025-01-11 08:54:45.738216,114,High,Packaged,8.918190542673265,Supermarket Type1,Regular,2012,Tier 1,0.9304915900649502
Cheese,Dairy Products,0.35,5.38,192.17,2025-01-11 08:54:45.738629,50,Low,Packaged,8.354173557529284,Supermarket Type1,Full Fat,2010,Tier 1,0.810066835808045
Quinoa,Grains and Cereals,0.45,6.33,88.34,2025-01-11 08:54:45.739038,369,Medium,Packaged,9.640965498655271,Supermarket Type1,Regular,2010,Tier 1,0.9258042744266222
Kiwi,Fruits and Vegetables,0.2,2.68,109.85,2025-01-11 08:54:45.739454,13,Low,Packaged,5.955783352036493,Supermarket Type3,Regular,2018,Tier 3,0.7475783300314329
Chocolate Cookies,Packaged Snacks,0.32,3.49,247.71,2025-01-11 08:54:45.739845,111,High,Packaged,9.696526886055826,Supermarket Type1,Regular,2012,Tier 1,1.0
Potato Chips,Packaged Snacks,0.16,1.78,252.2,2025-01-11 08:54:45.740235,91,High,Packaged,7.511695069778442,Supermarket Type2,Regular,2015,Tier 2,0.867565018552843
Quinoa,Grains and Cereals,0.53,5.88,143.86,2025-01-11 08:54:45.740709,357,Medium,Packaged,8.94196001686466,Supermarket Type1,Regular,2010,Tier 1,0.7631288509210927
Oats,Grains and Cereals,0.59,3.89,133.98,2025-01-11 08:54:45.741119,175,High,Packaged,7.178961110158907,Supermarket Type3,Regular,2018,Tier 3,0.8102786481790232
Banana,Fruits and Vegetables,0.16,2.2600000000000002,248.93,2025-01-11 08:54:45.741549,7,Medium,Loose,6.189912668419825,Supermarket Type2,Regular,2015,Tier 2,0.8572709397904744
White Rice,Grains and Cereals,0.94,2.99,527.29,2025-01-11 08:54:45.741934,362,Low,Packaged,5.139465280140639,Supermarket Type1,Regular,2010,Tier 1,0.7617266926226582
Spinach,Fruits and Vegetables,0.25,2.29,99.42,2025-01-11 08:54:45.742309,2,Medium,Loose,7.63256960532258,Supermarket Type1,Regular,2010,Tier 1,0.9147313475467923
Banana,Fruits and Vegetables,0.09,1.71,160.11,2025-01-11 08:54:45.742723,1,Medium,Loose,7.235759876724851,Supermarket Type2,Regular,2015,Tier 2,0.9778890451652509
Spinach,Fruits and Vegetables,0.33999999999999997,1.9900000000000002,93.67,2025-01-11 08:54:45.743087,1,Medium,Loose,6.375430119470849,Supermarket Type1,Regular,2010,Tier 1,0.9641654553814345
White Rice,Grains and Cereals,1.04,2.16,547.81,2025-01-11 08:54:45.743471,365,Low,Packaged,5.90136657948899,Supermarket Type1,Regular,2010,Tier 1,0.8014315211467485
Potato Chips,Packaged Snacks,0.25,2.17,226.52,2025-01-11 08:54:45.743876,88,High,Packaged,8.355019686209559,Supermarket Type2,Regular,2015,Tier 2,1.0
Kiwi,Fruits and Vegetables,0.03,3.44,165.87,2025-01-11 08:54:45.744272,6,Low,Packaged,4.701892996899163,Supermarket Type3,Regular,2018,Tier 3,0.6465361616016578
Potato Chips,Packaged Snacks,0.23,2.0,277.29,2025-01-11 08:54:45.744716,85,High,Packaged,8.89631756107828,Supermarket Type2,Regular,2015,Tier 2,0.9155570743061049
Apple,Fruits and Vegetables,0.27,2.25,198.35,2025-01-11 08:54:45.745144,9,High,Loose,8.10630595675553,Supermarket Type1,Regular,2010,Tier 1,0.902066975500535
Spinach,Fruits and Vegetables,0.33999999999999997,2.4200000000000004,124.37,2025-01-11 08:54:45.745527,13,Medium,Loose,6.794430873406606,Supermarket Type1,Regular,2010,Tier 1,0.9093113619281393
Potato Chips,Packaged Snacks,0.12000000000000001,2.04,257.4,2025-01-11 08:54:45.745944,85,High,Packaged,7.2611578311602,Supermarket Type2,Regular,2015,Tier 2,0.8823029049159092
Quinoa,Grains and Cereals,0.45,6.15,86.83,2025-01-11 08:54:45.746318,373,Medium,Packaged,8.19780819346612,Supermarket Type1,Regular,2010,Tier 1,0.8761482434764966
Orange,Fruits and Vegetables,0.21,1.56,217.6,2025-01-11 08:54:45.746725,12,High,Loose,6.667544274770547,Supermarket Type1,Regular,2012,Tier 1,0.8637961074602551
Apple,Fruits and Vegetables,0.17,2.04,177.36,2025-01-11 08:54:45.747129,11,High,Loose,7.880177333043691,Supermarket Type1,Regular,2010,Tier 1,0.7821007180138837
Broccoli,Fruits and Vegetables,0.32,3.04,148.38,2025-01-11 08:54:45.747529,4,Low,Loose,6.675277108455772,Supermarket Type2,Regular,2015,Tier 2,0.8075324212657178
Potato Chips,Packaged Snacks,0.11000000000000001,2.45,249.3,2025-01-11 08:54:45.747924,88,High,Packaged,8.460338172176012,Supermarket Type2,Regular,2015,Tier 2,0.9336771754911923
Kiwi,Fruits and Vegetables,0.04000000000000001,2.93,111.02,2025-01-11 08:54:45.748370,4,Low,Packaged,5.82431892006008,Supermarket Type3,Regular,2018,Tier 3,0.6302372471102773
Butter,Dairy Products,0.26,4.39,177.67000000000002,2025-01-11 08:54:45.748816,28,Medium,Packaged,6.945567771375001,Supermarket Type3,Full Fat,2018,Tier 3,0.8985686476940087
White Rice,Grains and Cereals,0.97,2.36,176.23,2025-01-11 08:54:45.749209,371,Low,Packaged,5.5365129369683945,Supermarket Type2,Regular,2015,Tier 2,0.713793429850102
Brown Rice,Grains and Cereals,1.02,3.19,141.49,2025-01-11 08:54:45.749623,180,Low,Packaged,6.367734687419684,Supermarket Type1,Regular,2012,Tier 1,0.7989169175694939
Butter,Dairy Products,0.32,4.49,184.82,2025-01-11 08:54:45.750011,23,Medium,Packaged,7.805408357005502,Supermarket Type3,Full Fat,2018,Tier 3,0.7924003752651978
Cheese,Dairy Products,0.22999999999999998,5.26,168.4,2025-01-11 08:54:45.750431,50,Low,Packaged,7.864855224539179,Supermarket Type1,Full Fat,2010,Tier 1,0.8923881897807487
Chocolate Cookies,Packaged Snacks,0.29,2.97,222.57,2025-01-11 08:54:45.750853,116,High,Packaged,8.078588995316657,Supermarket Type1,Regular,2012,Tier 1,0.887955601468963
Banana,Fruits and Vegetables,0.25,1.99,605.27,2025-01-11 08:54:45.751245,1,Medium,Loose,6.852764060568603,Supermarket Type2,Regular,2015,Tier 2,0.8912160375034391
Energy Bars,Packaged Snacks,0.16999999999999998,2.53,239.97,2025-01-11 08:54:45.751663,153,High,Packaged,9.220907956287002,Supermarket Type1,Regular,2010,Tier 1,0.8782435996105493
Low-Fat Milk,Dairy Products,0.96,3.33,518.6899999999999,2025-01-11 08:54:45.752102,6,Medium,Packaged,7.891742624863686,Supermarket Type2,Low Fat,2015,Tier 2,0.8411748731997967
Orange,Fruits and Vegetables,0.09,1.87,196.66,2025-01-11 08:54:45.752530,15,High,Loose,5.382721787562637,Supermarket Type1,Regular,2012,Tier 1,0.7427363231092552
White Rice,Grains and Cereals,1.02,2.86,592.51,2025-01-11 08:54:45.752937,362,Low,Packaged,5.3276331886902195,Supermarket Type1,Regular,2010,Tier 1,0.8823104982668711
Mixed Nuts,Packaged Snacks,0.23,5.13,224.48,2025-01-11 08:54:45.753326,189,Medium,Packaged,6.363878142842811,Supermarket Type3,Regular,2018,Tier 3,0.9114023477134094
Brown Rice,Grains and Cereals,1.1,2.6,103.67,2025-01-11 08:54:45.753698,180,Low,Packaged,7.127062979961988,Supermarket Type1,Regular,2012,Tier 1,0.8855299449719878
Broccoli,Fruits and Vegetables,0.34,3.93,111.73,2025-01-11 08:54:45.754103,1,Low,Loose,5.673162593389158,Supermarket Type2,Regular,2015,Tier 2,0.8017451248688265
Kiwi,Fruits and Vegetables,0.18,3.14,125.97,2025-01-11 08:54:45.754465,11,Low,Packaged,4.695333448394104,Supermarket Type3,Regular,2018,Tier 3,0.6030884975555898
Broccoli,Fruits and Vegetables,0.37,3.53,106.64,2025-01-11 08:54:45.754859,4,Low,Loose,5.584824115787814,Supermarket Type2,Regular,2015,Tier 2,0.6380588456088147
Oats,Grains and Cereals,0.55,3.39,142.34,2025-01-11 08:54:45.755245,171,High,Packaged,8.345799800748955,Supermarket Type3,Regular,2018,Tier 3,0.9551874455861881
Butter,Dairy Products,0.27,4.5,181.71,2025-01-11 08:54:45.755585,27,Medium,Packaged,7.332554555127725,Supermarket Type3,Full Fat,2018,Tier 3,0.8143010186546026
Butter,Dairy Products,0.21,4.43,179.32999999999998,2025-01-11 08:54:45.756001,28,Medium,Packaged,6.260638480892096,Supermarket Type3,Full Fat,2018,Tier 3,0.9046263906293246
Kiwi,Fruits and Vegetables,0.18,3.07,81.67,2025-01-11 08:54:45.756433,19,Low,Packaged,4.689432796510879,Supermarket Type3,Regular,2018,Tier 3,0.7120760437896069
White Rice,Grains and Cereals,1.06,2.25,146.86,2025-01-11 08:54:45.756794,359,Low,Packaged,5.555999978373712,Supermarket Type2,Regular,2015,Tier 2,0.7342466025669632
Kiwi,Fruits and Vegetables,0.010000000000000009,3.32,148.87,2025-01-11 08:54:45.757190,11,Low,Packaged,4.998088009343837,Supermarket Type3,Regular,2018,Tier 3,0.656599713170182
Banana,Fruits and Vegetables,0.07999999999999999,1.83,217.66,2025-01-11 08:54:45.757570,2,Medium,Loose,6.883155189102293,Supermarket Type2,Regular,2015,Tier 2,0.8570242280285455
Low-Fat Milk,Dairy Products,1.07,3.0500000000000003,587.6099999999999,2025-01-11 08:54:45.757987,8,Medium,Packaged,7.236072283598581,Supermarket Type2,Low Fat,2015,Tier 2,0.9228582452840004
Banana,Fruits and Vegetables,0.18,1.98,601.89,2025-01-11 08:54:45.758376,5,Medium,Loose,7.542975842819917,Supermarket Type2,Regular,2015,Tier 2,0.8571888005348116
Chocolate Cookies,Packaged Snacks,0.31,2.76,216.49,2025-01-11 08:54:45.758753,121,High,Packaged,9.6277849331741,Supermarket Type1,Regular,2012,Tier 1,0.9704597742309751
White Rice,Grains and Cereals,0.99,2.16,225.84,2025-01-11 08:54:45.759183,369,Low,Packaged,6.739532059163009,Supermarket Type2,Regular,2015,Tier 2,0.6575594744251978
Yogurt,Dairy Products,0.43,2.12,138.51,2025-01-11 08:54:45.759580,17,High,Packaged,8.60586229959978,Supermarket Type1,Low Fat,2012,Tier 1,0.894922810674658
Chocolate Cookies,Packaged Snacks,0.33999999999999997,3.43,216.93,2025-01-11 08:54:45.759919,111,High,Packaged,8.738872618801958,Supermarket Type1,Regular,2012,Tier 1,1.0
Low-Fat Milk,Dairy Products,1.03,3.0300000000000002,276.43,2025-01-11 08:54:45.760387,16,Medium,Packaged,7.887524536560619,Supermarket Type2,Low Fat,2015,Tier 2,0.9198638646341666
Oats,Grains and Cereals,0.46,3.88,166.39,2025-01-11 08:54:45.760815,189,High,Packaged,7.386352544986797,Supermarket Type3,Regular,2018,Tier 3,0.9099842186527127
Whole Milk,Dairy Products,1.09,3.02,288.42,2025-01-11 08:54:45.761204,11,Medium,Packaged,8.272182740864675,Supermarket Type1,Full Fat,2010,Tier 1,0.9576782856711676
Spinach,Fruits and Vegetables,0.3,2.5100000000000002,136.06,2025-01-11 08:54:45.761575,11,Medium,Loose,6.374187984950283,Supermarket Type1,Regular,2010,Tier 1,0.9734538661888567
Whole Milk,Dairy Products,0.96,3.35,286.6,2025-01-11 08:54:45.761960,13,Medium,Packaged,8.65418443441446,Supermarket Type1,Full Fat,2010,Tier 1,1.0
Brown Rice,Grains and Cereals,0.94,2.61,115.28999999999999,2025-01-11 08:54:45.762338,178,Low,Packaged,6.213726287197287,Supermarket Type1,Regular,2012,Tier 1,0.857883990290908
Kiwi,Fruits and Vegetables,0.1,3.29,103.48,2025-01-11 08:54:45.762701,21,Low,Packaged,4.18075976052777,Supermarket Type3,Regular,2018,Tier 3,0.6875302072672089
Banana,Fruits and Vegetables,0.18,1.51,171.32,2025-01-11 08:54:45.763097,1,Medium,Loose,7.1936539016202925,Supermarket Type2,Regular,2015,Tier 2,0.9814004887761799
Butter,Dairy Products,0.28,4.32,122.61,2025-01-11 08:54:45.763481,35,Medium,Packaged,6.984433972988166,Supermarket Type3,Full Fat,2018,Tier 3,0.9019793917041002
Mixed Nuts,Packaged Snacks,0.31,4.56,141.85,2025-01-11 08:54:45.763866,176,Medium,Packaged,7.208532972091886,Supermarket Type3,Regular,2018,Tier 3,0.9666171378975723
Yogurt,Dairy Products,0.45,2.07,157.82,2025-01-11 08:54:45.764231,12,High,Packaged,8.200978244598613,Supermarket Type1,Low Fat,2012,Tier 1,0.8905401894300633
Chocolate Cookies,Packaged Snacks,0.31,3.37,229.07,2025-01-11 08:54:45.764675,127,High,Packaged,8.875996168656531,Supermarket Type1,Regular,2012,Tier 1,0.9186924183313855
Cheese,Dairy Products,0.37,5.41,181.82999999999998,2025-01-11 08:54:45.765058,63,Low,Packaged,7.832492146701416,Supermarket Type1,Full Fat,2010,Tier 1,0.8971010985028072
Oats,Grains and Cereals,0.44,3.86,177.32999999999998,2025-01-11 08:54:45.765407,185,High,Packaged,7.938149206886022,Supermarket Type3,Regular,2018,Tier 3,0.7923356376039996
Orange,Fruits and Vegetables,0.15,1.92,185.79,2025-01-11 08:54:45.765782,23,High,Loose,6.462545967920667,Supermarket Type1,Regular,2012,Tier 1,0.8537841520393399
Energy Bars,Packaged Snacks,0.06,2.94,187.87,2025-01-11 08:54:45.766151,156,High,Packaged,8.046067842079308,Supermarket Type1,Regular,2010,Tier 1,0.8377318468678375
Oats,Grains and Cereals,0.47,3.21,157.12,2025-01-11 08:54:45.766494,186,High,Packaged,8.662764041918056,Supermarket Type3,Regular,2018,Tier 3,0.8137750168717139
Banana,Fruits and Vegetables,0.13,1.3900000000000001,546.0899999999999,2025-01-11 08:54:45.766892,11,Medium,Loose,7.872825886570197,Supermarket Type2,Regular,2015,Tier 2,0.8863040854010639
Orange,Fruits and Vegetables,0.12,1.72,166.61,2025-01-11 08:54:45.767279,13,High,Loose,6.734087983417669,Supermarket Type1,Regular,2012,Tier 1,0.7338244063338034
Potato Chips,Packaged Snacks,0.30000000000000004,1.96,246.81,2025-01-11 08:54:45.767626,96,High,Packaged,7.008794227888904,Supermarket Type2,Regular,2015,Tier 2,1.0
Kiwi,Fruits and Vegetables,0.11,3.32,129.05,2025-01-11 08:54:45.768012,5,Low,Packaged,5.463259015241084,Supermarket Type3,Regular,2018,Tier 3,0.6939386532806234
Chocolate Cookies,Packaged Snacks,0.35,3.19,187.43,2025-01-11 08:54:45.768469,113,High,Packaged,8.903233750823402,Supermarket Type1,Regular,2012,Tier 1,0.8980255905554935
Broccoli,Fruits and Vegetables,0.34,3.49,70.3,2025-01-11 08:54:45.768832,6,Low,Loose,5.981786769074997,Supermarket Type2,Regular,2015,Tier 2,0.6794005149298511
Broccoli,Fruits and Vegetables,0.44,3.42,95.38,2025-01-11 08:54:45.769221,13,Low,Loose,5.4398210736969315,Supermarket Type2,Regular,2015,Tier 2,0.8100985149683191
Apple,Fruits and Vegetables,0.12000000000000001,2.73,118.71000000000001,2025-01-11 08:54:45.769649,15,High,Loose,8.140574130743495,Supermarket Type1,Regular,2010,Tier 1,0.9095592249297628
Yogurt,Dairy Products,0.41000000000000003,1.74,189.18,2025-01-11 08:54:45.770014,23,High,Packaged,8.159811200872552,Supermarket Type1,Low Fat,2012,Tier 1,0.8214568211634635
Brown Rice,Grains and Cereals,1.07,3.42,113.08,2025-01-11 08:54:45.770396,188,Low,Packaged,7.672005382483713,Supermarket Type1,Regular,2012,Tier 1,0.7102965476991395
Low-Fat Milk,Dairy Products,1.05,2.81,227.42000000000002,2025-01-11 08:54:45.770765,19,Medium,Packaged,7.697564688177403,Supermarket Type2,Low Fat,2015,Tier 2,0.8227177972830422
Low-Fat Milk,Dairy Products,1.04,3.5300000000000002,598.7399999999999,2025-01-11 08:54:45.771088,14,Medium,Packaged,7.793233017752822,Supermarket Type2,Low Fat,2015,Tier 2,0.8711254251636735
Orange,Fruits and Vegetables,0.12,1.9,136.32999999999998,2025-01-11 08:54:45.771453,14,High,Loose,5.228807547357547,Supermarket Type1,Regular,2012,Tier 1,0.7157888341773249
Butter,Dairy Products,0.16999999999999998,4.04,167.51,2025-01-11 08:54:45.771822,28,Medium,Packaged,7.166488358785389,Supermarket Type3,Full Fat,2018,Tier 3,0.8403503391851026
Banana,Fruits and Vegetables,0.22,2.2,180.68,2025-01-11 08:54:45.772133,13,Medium,Loose,7.828514092174549,Supermarket Type2,Regular,2015,Tier 2,0.846449671250441
Mixed Nuts,Packaged Snacks,0.19,4.69,206.46,2025-01-11 08:54:45.772693,176,Medium,Packaged,6.5016941442829586,Supermarket Type3,Regular,2018,Tier 3,0.8984450415131454
Banana,Fruits and Vegetables,0.13999999999999999,1.61,185.04,2025-01-11 08:54:45.773041,14,Medium,Loose,6.495004363054653,Supermarket Type2,Regular,2015,Tier 2,0.9383438658612315
Banana,Fruits and Vegetables,0.15,1.83,618.3499999999999,2025-01-11 08:54:45.773379,14,Medium,Loose,7.479039803741701,Supermarket Type2,Regular,2015,Tier 2,0.9067140091018836
White Rice,Grains and Cereals,0.92,2.62,145.84,2025-01-11 08:54:45.773769,374,Low,Packaged,6.726096302652859,Supermarket Type2,Regular,2015,Tier 2,0.7935746891930604
Kiwi,Fruits and Vegetables,0.18,3.29,79.63,2025-01-11 08:54:45.774112,9,Low,Packaged,5.498840235380005,Supermarket Type3,Regular,2018,Tier 3,0.6134031489038797
Low-Fat Milk,Dairy Products,0.92,3.0300000000000002,248.51,2025-01-11 08:54:45.774445,17,Medium,Packaged,8.397046049130683,Supermarket Type2,Low Fat,2015,Tier 2,0.8987449922008124
Kiwi,Fruits and Vegetables,0.04000000000000001,3.16,144.99,2025-01-11 08:54:45.774842,18,Low,Packaged,5.137644446576604,Supermarket Type3,Regular,2018,Tier 3,0.7147518378590053
Chocolate Cookies,Packaged Snacks,0.31,2.67,206.98,2025-01-11 08:54:45.775186,111,High,Packaged,8.120219542567709,Supermarket Type1,Regular,2012,Tier 1,0.9422038193707825
Banana,Fruits and Vegetables,0.24,2.05,574.87,2025-01-11 08:54:45.775564,3,Medium,Loose,6.647863002242151,Supermarket Type2,Regular,2015,Tier 2,1.0
Banana,Fruits and Vegetables,0.18,1.42,216.7,2025-01-11 08:54:45.776001,8,Medium,Loose,6.609665179743849,Supermarket Type2,Regular,2015,Tier 2,0.9484559912920705
Brown Rice,Grains and Cereals,1.02,3.03,168.77,2025-01-11 08:54:45.776362,184,Low,Packaged,7.1647833355936585,Supermarket Type1,Regular,2012,Tier 1,0.6960891400426713
White Rice,Grains and Cereals,1.08,2.32,526.4399999999999,2025-01-11 08:54:45.776736,368,Low,Packaged,5.290410877089471,Supermarket Type1,Regular,2010,Tier 1,0.9116122879432951
Banana,Fruits and Vegetables,0.10999999999999999,1.44,232.82,2025-01-11 08:54:45.777123,8,Medium,Loose,6.205482160472988,Supermarket Type2,Regular,2015,Tier 2,0.8375162761332602
Oats,Grains and Cereals,0.44,3.29,182.41,2025-01-11 08:54:45.777477,184,High,Packaged,7.31373635591474,Supermarket Type3,Regular,2018,Tier 3,0.9104780049424702
Whole Milk,Dairy Products,0.9,3.94,332.81,2025-01-11 08:54:45.777824,5,Medium,Packaged,9.000020886295172,Supermarket Type1,Full Fat,2010,Tier 1,0.9739977581462667
Quinoa,Grains and Cereals,0.5700000000000001,6.2,115.16,2025-01-11 08:54:45.778224,366,Medium,Packaged,9.180030476852426,Supermarket Type1,Regular,2010,Tier 1,0.7435069837746909
Chocolate Cookies,Packaged Snacks,0.38,2.93,211.93,2025-01-11 08:54:45.778606,117,High,Packaged,9.451743880982718,Supermarket Type1,Regular,2012,Tier 1,0.8641160531949351
Butter,Dairy Products,0.31,4.97,117.32,2025-01-11 08:54:45.778960,26,Medium,Packaged,7.0934275957088095,Supermarket Type3,Full Fat,2018,Tier 3,0.7553668877403589
Whole Milk,Dairy Products,1.04,3.69,309.89,2025-01-11 08:54:45.779349,17,Medium,Packaged,9.819278251886017,Supermarket Type1,Full Fat,2010,Tier 1,0.8720866694974609
Brown Rice,Grains and Cereals,0.9,3.06,152.05,2025-01-11 08:54:45.779722,173,Low,Packaged,7.5315392464156234,Supermarket Type1,Regular,2012,Tier 1,0.7074571143707516
Orange,Fruits and Vegetables,0.12,1.93,182.31,2025-01-11 08:54:45.780094,25,High,Loose,5.705377129769192,Supermarket Type1,Regular,2012,Tier 1,0.7809980452328252
Orange,Fruits and Vegetables,0.10999999999999999,1.97,219.37,2025-01-11 08:54:45.780528,14,High,Loose,5.769140098413329,Supermarket Type1,Regular,2012,Tier 1,0.7606144632462051
Potato Chips,Packaged Snacks,0.22,1.98,265.88,2025-01-11 08:54:45.780898,88,High,Packaged,7.988754387672493,Supermarket Type2,Regular,2015,Tier 2,0.980526388406995
Energy Bars,Packaged Snacks,0.07999999999999999,2.48,243.5,2025-01-11 08:54:45.781261,142,High,Packaged,9.685983559786909,Supermarket Type1,Regular,2010,Tier 1,0.9212160194209645
Kiwi,Fruits and Vegetables,0.09000000000000001,2.78,73.08,2025-01-11 08:54:45.781627,15,Low,Packaged,4.205815765362228,Supermarket Type3,Regular,2018,Tier 3,0.6211560876536644
Low-Fat Milk,Dairy Products,0.96,3.0300000000000002,578.0699999999999,2025-01-11 08:54:45.782009,17,Medium,Packaged,7.656013606347744,Supermarket Type2,Low Fat,2015,Tier 2,0.8135050115621222
Apple,Fruits and Vegetables,0.21000000000000002,2.66,178.72,2025-01-11 08:54:45.782348,23,High,Loose,7.571639782675994,Supermarket Type1,Regular,2010,Tier 1,0.781752559170658
