Item_Type,Item_Weight,Item_MRP,Item_Outlet_Sales,Timestamp,Item_Identifier,Item_Fat_Content,Item_Visibility,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,MRP_Range,Price_Range
Fruits and Vegetables,40.0,2000.0,3141.9037012236226,2025-01-11 10:24:15,,,,,,,,,,
Dairy,1.0,500.0,2887.7641154512876,2025-01-11 10:19:04,,,,,,,,,,Very High
Snack Foods,450000.0,45.0,532.227204,2025-01-11 10:18:44,,,,,,,,,,Very Low
Canned,45.0,45000.0,3074.216247386181,2025-01-11 10:16:46,,,,,,,,,,Very High
Starchy Foods,3.0,222.0,4582.102180000003,2025-01-11 01:01:26,,,,,,,,,,Very High
Dairy,75.0,5555.0,2572.4049497121896,2025-01-11 00:00:50,,,,,,,,,,Very High
Dairy,9.3,249.8092,3735.138,,FDA15,Low Fat,0.016047301,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very High,Very High
Soft Drinks,5.92,48.2692,443.4228,,DRC01,Regular,0.019278216,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very Low,Very Low
Meat,17.5,141.618,2097.27,,FDN15,Low Fat,0.016760075,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Medium,Medium
Fruits and Vegetables,19.2,182.095,732.38,,FDX07,Regular,0.0,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Household,8.93,53.8614,994.7052,,NCD19,Low Fat,0.0,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Baking Goods,10.395,51.4008,556.6088,,FDP36,Regular,0.0,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very Low,Very Low
Snack Foods,13.65,57.6588,343.5528,,FDO10,Regular,0.012741089,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Snack Foods,,107.7622,4022.7636,,FDP10,Low Fat,0.127469857,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Frozen Foods,16.2,96.9726,1076.5986,,FDH17,Regular,0.016687114,OUT045,2002.0,,Tier 2,Supermarket Type1,Low,Low
Frozen Foods,19.2,187.8214,4710.535,,FDU28,Regular,0.09444959,OUT017,2007.0,,Tier 2,Supermarket Type1,High,High
Fruits and Vegetables,11.8,45.5402,1516.0266,,FDY07,Low Fat,0.0,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Dairy,18.5,144.1102,2187.153,,FDA03,Regular,0.045463773,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Medium,Medium
Fruits and Vegetables,15.1,145.4786,1589.2646,,FDX32,Regular,0.1000135,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Medium,Medium
Snack Foods,17.6,119.6782,2145.2076,,FDS46,Regular,0.047257328,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Medium,Medium
Fruits and Vegetables,16.35,196.4426,1977.426,,FDF32,Low Fat,0.0680243,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,Very High
